lago,fecha,zona,n_pixeles_validos,mediana_cya,p90_cya,porcentaje_alto
amatitlan,2026-02-07,noroeste,16747,9.19355583190918,14.29238510131836,0.7882008717979341
amatitlan,2026-02-07,sureste,15043,5.435215473175049,8.976886749267578,0.3456757295752177
amatitlan,2026-02-07,suroeste,26,7.874924659729004,10.65548324584961,0.0
amatitlan,2026-03-29,noreste,1712,155.72450256347656,195.2074737548828,99.88317757009347
amatitlan,2026-03-29,noroeste,16900,126.81935119628906,223.52947998046875,99.46745562130177
amatitlan,2026-03-29,sureste,17139,146.01461791992188,218.90882873535156,98.41881089911897
amatitlan,2026-03-29,suroeste,26,169.54278564453125,188.32101440429688,100.0
amatitlan,2026-04-13,noreste,1718,126.81779479980469,200.2169952392578,100.0
amatitlan,2026-04-13,noroeste,16907,186.7724151611328,317.22515869140625,99.95859703081564
amatitlan,2026-04-13,sureste,17981,374.4109191894531,453.3431091308594,99.97219287025193
amatitlan,2026-04-13,suroeste,26,193.62454223632812,242.6502685546875,100.0
amatitlan,2026-04-28,noreste,1675,186.67213439941406,238.86605834960938,100.0
amatitlan,2026-04-28,noroeste,11386,167.53314208984375,214.400634765625,100.0
amatitlan,2026-04-28,sureste,16089,240.6417236328125,302.0255126953125,96.86742494872273
amatitlan,2026-04-28,suroeste,26,124.87596130371094,146.51596069335938,100.0
amatitlan,2026-06-19,noreste,1636,77.98970794677734,132.64016723632812,98.41075794621027
amatitlan,2026-06-19,noroeste,16528,121.95455932617188,230.70376586914062,99.97579864472411
amatitlan,2026-06-19,sureste,16298,84.07881164550781,135.99488830566406,95.31844398085654
amatitlan,2026-06-19,suroeste,21,60.033294677734375,126.25666809082031,100.0
atitlan,2025-01-18,noreste,60371,0.0003789140610024333,0.002957994816824794,0.07619552434115717
atitlan,2025-01-18,noroeste,56897,0.001631865045055747,0.023481912910938263,0.1529078861802907
atitlan,2025-01-18,sureste,10045,0.0003883014142047614,0.004458478651940823,0.6570433051269288
atitlan,2025-01-18,suroeste,7380,0.0008391400333493948,0.08515100926160812,0.853658536585366
atitlan,2025-04-13,noreste,125512,3.2907238006591797,6.986258506774902,0.08684428580534133
atitlan,2025-04-13,noroeste,104084,1.4918384552001953,3.0455305576324463,0.17389800545713077
atitlan,2025-04-13,sureste,41196,1.4200586080551147,2.4538865089416504,0.49519370812700264
atitlan,2025-04-13,suroeste,35900,1.0351099967956543,1.774200677871704,0.4540389972144847
atitlan,2025-05-13,noreste,125171,0.6115320324897766,1.8276922702789307,0.07110273146335813
atitlan,2025-05-13,noroeste,104067,3.9962213039398193,10.86943244934082,0.29500225816060804
atitlan,2025-05-13,sureste,41236,3.1981210708618164,7.447062015533447,0.9142496847414879
atitlan,2025-05-13,suroeste,35931,5.59006404876709,9.851238250732422,1.430519607024575
atitlan,2025-07-17,noreste,122963,0.38100430369377136,5.047199249267578,1.060481608288672
atitlan,2025-07-17,noroeste,102958,0.952378511428833,4.729501247406006,7.795411721284408
atitlan,2025-07-17,sureste,38493,1.4245052337646484,7.216864109039307,0.5663367365495025
atitlan,2025-07-17,suroeste,35389,1.2237000465393066,3.281808853149414,0.6725253609878775
atitlan,2025-11-21,noreste,112900,0.025033973157405853,0.060658011585474014,0.06023029229406554
atitlan,2025-11-21,noroeste,92103,0.01845189370214939,0.059471163898706436,0.09988816868071615
atitlan,2025-11-21,sureste,25719,0.03988966345787048,0.08611249923706055,0.4393638943971383
atitlan,2025-11-21,suroeste,21722,0.02910624071955681,0.1658625602722168,0.7411840530337906
atitlan,2025-12-29,noreste,117201,0.026233404874801636,0.059926584362983704,0.05972645284596548
atitlan,2025-12-29,noroeste,102181,0.06327944993972778,0.13920070230960846,0.1526702615946213
atitlan,2025-12-29,sureste,29638,0.041615962982177734,0.12300173193216324,0.4622444159524934
atitlan,2025-12-29,suroeste,33904,0.1558884233236313,0.8985062837600708,0.3273949976403964
atitlan,2026-02-12,noreste,115073,0.0835753008723259,0.16167539358139038,0.04605771988216176
atitlan,2026-02-12,noroeste,85152,0.04415975883603096,0.08796624839305878,0.1280063885757234
atitlan,2026-02-12,sureste,21862,0.022016560658812523,0.06872662156820297,0.6175098344158815
atitlan,2026-02-12,suroeste,18219,0.04818705841898918,0.11392056941986084,0.5104561172402436
atitlan,2026-03-24,noreste,125395,0.591752827167511,0.8178123831748962,0.07815303640496032
atitlan,2026-03-24,noroeste,103979,0.54135662317276,0.7674025297164917,0.1865761355658354
atitlan,2026-03-24,sureste,40440,0.49981260299682617,0.7702018022537231,0.4574678536102868
atitlan,2026-03-24,suroeste,35655,0.7455514073371887,1.8625845909118652,0.41228439209087087
atitlan,2026-04-13,noreste,125242,2.1279945373535156,4.430433750152588,0.3752734705609939
atitlan,2026-04-13,noroeste,103888,10.322280883789062,28.347177505493164,3.56537809949176
atitlan,2026-04-13,sureste,40363,0.3504860997200012,2.757880210876465,0.5178009563213835
atitlan,2026-04-13,suroeste,35635,1.613062858581543,2.9791600704193115,0.4798653009681493
atitlan,2026-04-28,noreste,125423,1.699448585510254,6.382297515869141,0.07574368337545745
atitlan,2026-04-28,noroeste,103985,2.7667417526245117,8.143406867980957,0.30869836995720534
atitlan,2026-04-28,sureste,41186,7.448328018188477,11.877869606018066,1.3135531491283445
atitlan,2026-04-28,suroeste,35724,8.097749710083008,14.18614673614502,1.629156869331542
atitlan,2026-07-22,noreste,124102,1.2854586839675903,16.600011825561523,1.5865981209005495
atitlan,2026-07-22,noroeste,102533,0.7465354800224304,2.3604536056518555,0.1277637443554758
atitlan,2026-07-22,sureste,40153,5.468969821929932,17.980741500854492,2.2513884392199834
atitlan,2026-07-22,suroeste,34782,0.8290616273880005,3.8245487213134766,0.4255074463803117
